Title,DOI,Link,Abstract,Author Keywords
"Forecasting trends of high-frequency KOSPI200 index data using learning classifiers","10.1016/j.eswa.2012.04.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861799918&doi=10.1016%2fj.eswa.2012.04.015&partnerID=40&md5=eb662e1a996241dc0fc03d41e8a7569b","Recently many statistical learning techniques have been applied to the prediction of financial variables. The aim of this paper is to conduct a comprehensive study of the applications of statistical learning techniques to predict the trend of the return of high-frequency Korea composite stock price index (KOSPI) 200 index data using the information from the one-minute time series of spot index, futures index, and foreign exchange rate. Through experiments, it is observed that the spot index change is better predictable with high-frequency time series data and the futures index information significantly improves the prediction accuracy of the return trends of the spot index for high-frequency index data, while the information of exchange rate does not. Also, dimension reduction process before training helps to increase the accuracy and dramatically for some classifiers. In addition, the trained classifiers with which a virtual trading strategy is applied to, noticeable better profits can be achieved than just a buy-and-hold-like strategy. © 2012 Published by Elsevier Ltd. All rights reserved.","Binary classification; Financial forecasting; High-frequency trading; Market lead-lag relationship; Statistical learning"
"Adaptive neuro fuzzy inference systems for high frequency financial trading and forecasting","10.1109/ADVCOMP.2009.23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949509317&doi=10.1109%2fADVCOMP.2009.23&partnerID=40&md5=e8944f50fd4087be1665bcac2a47dec5","The prediction of financial time series is a very complicated process. An initial look at financial time series gives the impression that they are random in nature. If true, this would make the forecast, and therefore the trading, of such series exceptionally difficult. The efficient market hypothesis states that the current price contains all available information in the market. This leads to the predictability of most financial time series as being a rather controversial issue. Experts have been forecasting and trading financial markets for decades, using their knowledge and expertise in recognizing patterns and interpreting current financial data. This paper extends the Adaptive Neuro-Fuzzy Inference System to create an expert system that is capable of using fuzzy reasoning combined with the pattern recognition capability of neural networks to be used in financial forecasting and trading. The novelty of the approach lies in its application to the field of high frequency finance. Such an approach has not been used so far with high frequency trading or as a part of an automated trading strategy. This has produced an expert trading system which overcomes the physical limitations of human experts and traders in taking multiple decisions at extremely short time intervals. This means the system can perform predictions and trading decisions at a very high frequency using intra-day data. © 2009 IEEE.","Efficient market hypothesis; Financial prediction; High frequency trading; Neuro-fuzzy inference system"
"Evolving trading strategies using directional changes","10.1016/j.eswa.2016.12.032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007495746&doi=10.1016%2fj.eswa.2016.12.032&partnerID=40&md5=f1a6a68d70dc22832a916952eafa7234","The majority of forecasting methods use a physical time scale for studying price fluctuations of financial markets, making the flow of physical time discontinuous. Therefore, using a physical time scale may expose companies to risks, due to ignorance of some significant activities. In this paper, an alternative and original approach is explored to capture important activities in the market. The main idea is to use an event-based time scale based on a new way of summarising data, called Directional Changes. Combined with a genetic algorithm, the proposed approach aims to find a trading strategy that maximises profitability in foreign exchange markets. In order to evaluate its efficiency and robustness, we run rigorous experiments on 255 datasets from six different currency pairs, consisting of intra-day data from the foreign exchange spot market. The results from these experiments indicate that our proposed approach is able to generate new and profitable trading strategies, significantly outperforming other traditional types of trading strategies, such as technical analysis and buy and hold. © 2016 Elsevier Ltd","Algorithmic trading; Directional changes; Financial forecasting; Genetic algorithm"
"Organizational ignorance: an ethnographic study of high-frequency trading","10.1080/03085147.2016.1220665","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988410225&doi=10.1080%2f03085147.2016.1220665&partnerID=40&md5=fa0e63bb86c7f835b12c5e9371647e1a","This paper provides an analysis of strategic uses of ignorance or not-knowing in one of the most secretive industries within the financial sector. The focus of the paper is on the relation between imitation and ignorance within the organizational structure of high-frequency trading (HFT) firms. In social studies of finance (SSF) literature imitation is considered a strategic act, i.e. imitation is a term applied when traders copy the strategies of other traders. I wish to turn this relation between ignorance and imitation on its head and consider ignorance itself as a strategic unknown and investigate the kinds of imitations that might be produced from structures of not-knowing (i.e. structures intended to divide, obscure and protect knowledge). This point is illustrated through ethnographic studies and interviews within five HFT firms. The data show how a black-box structure of ignorance is replicated within the organizational setting of these firms and re-enacted by the traders. Towards the end of the paper the politics of the relationship between imitation and ignorance is discussed. © 2016 Informa UK Limited, trading as Taylor & Francis Group.","black box; high-frequency trading; ignorance; imitation; organizational structure; social studies of finance"
"High frequency trading, liquidity, and execution cost","10.1007/s10479-013-1382-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876355717&doi=10.1007%2fs10479-013-1382-8&partnerID=40&md5=968905712373da5da9d16ae47aaa8f86","We build a model under the framework of discrete optimization to explain how high frequency trading (HFT) can be applied to supply liquidity and reduce execution cost. We derive the analytical properties of our model in finding the optimal solution to minimize the overall execution cost of HFT. We show that the execution cost can be reduced after increasing trading frequency (i.e., the higher the trading frequency, the lower the execution cost) with a simulation study. In addition, we conduct an empirical investigation with tick level data from US equity market through January 2008 to October 2010 to verify our conclusion drawn from the simulation study. Based on the simulation and empirical results we collected, we show that the HFT can reduce the execution cost when supplying liquidity. © 2013, Springer Science+Business Media New York.","Discrete optimization; High frequency trading; Liquidity; Optimal execution; Price impact"
"Forecasting high-frequency futures returns using online langevin dynamics","10.1109/JSTSP.2012.2191532","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864153773&doi=10.1109%2fJSTSP.2012.2191532&partnerID=40&md5=907ed5b6d893dcd0beadafa40415d438","Forecasting the returns of assets at high frequency is the key challenge for high-frequency algorithmic trading strategies. In this paper, we propose a jump-diffusion model for asset price movements that models price and its trend and allows a momentum strategy to be developed. Conditional on jump times, we derive closed-form transition densities for this model. We show how this allows us to extract a trend from high-frequency finance data by using a Rao-Blackwellized variable rate particle filter to filter incoming price data. Our results show that even in the presence of transaction costs our algorithm can achieve a Sharpe ratio above 1 when applied across a portfolio of 75 futures contracts at high frequency. © 2011 IEEE.","Futures trading; online learning; particle filter; quantitative finance; tracking"
"High-frequency trading model for a complex trading hierarchy","10.1080/14697688.2012.664928","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859615485&doi=10.1080%2f14697688.2012.664928&partnerID=40&md5=b609c243c282477089339d0620e3453f","Financial markets exhibit a complex hierarchy among different processes, e.g. a trading time marks the initiation of a trade, and a trade triggers a price change. High-frequency trading data arrive at random times. By combining stochastic and agent-based approaches, we develop a model for trading time, trading volume, and price changes. We generate intertrade time (time between successive trades) Δ ti, and the number of shares traded q(Δ ti) as two independent but power-law autocorrelated processes, where Δ ti is subordinated to q(Δ ti), and Δ ti is more strongly correlated than q(Δ ti). These two power-law autocorrelated processes are responsible for the emergence of strong power-law correlations in (a) the total number of shares traded N(ΔT) and (b) the share volume Q ΔT calculated as the sum of the number of shares q i traded in a fixed time interval ΔT. We find that even though q(Δ ti) is weakly power-law correlated, due to strong power-law correlations in Δ ti, the (integrated) share volume Q(ΔT) ≡Σ ΔT i=1q(Δt i) exhibits strong long-range power-law correlations. We propose that intertrade times and bid-ask price changes share the same volatility mechanism, yielding the power-law autocorrelations in absolute values of price change and power-law tails in the distribution of price changes. The model generates the log-linear functional relationship between the average bid-ask spread 〈S〉 ΔT and the number of trade occurrences N ΔT, and between 〈S〉 ΔT and Q ΔT. We find that both results agree with empirical findings. © 2012 Copyright Taylor and Francis Group, LLC.","Fractionally integrated processes; High-frequency data; Subordinated processes"
"Acceleration of market value-at-risk estimation","10.1145/1645413.1645418","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74049161227&doi=10.1145%2f1645413.1645418&partnerID=40&md5=ec202761805787660cd0987025ceffcb","The proliferation of algorithmic trading, derivative usage and highly leveraged hedge funds necessitates the acceleration of market Value-at-Risk (VaR) estimation to measure the severity of portfolios losses. This paper demonstrates how solely relying on advances in computer hardware to accelerate market VaR estimation overlooks significant opportunities for acceleration. We use a simulation based delta-gamma Value-at-Risk (VaR) estimate and compute the loss function using basic linear algebra subroutines (BLAS). Our NVIDIA GeForce GTX280 graphics processing unit (GPU) based baseline implementation is a straight-forward port from the CPU implementation and only had a 8.21x speed advantage over a quadcore Intel Core2 Q9300 central processing unit (CPU) based implementation. We demonstrate three approaches to gain additional speedup over the baseline GPU implemention. Firstly, we reformulate the loss function to reduce the amount of necessary computation and achieved a 60.3x speedup. Secondly, we selected functionally equivalent distribution conversion modules to give the best convergence rate - providing an additional 2x speedup. Thirdly, we merged data-parallel computational kernels to remove redundant load store operations leading to an additional 1.85x speedup. Overall, we have achieved a speedup of 148x against the baseline GPU implementation, reducing the time of a VaR estimation with a standard error of 0.1% from minutes to less than one second. Copyright 2009 ACM.","D.1.3 [concurrent programming]: [parallel programming]; G.3 [probability and statistics]: [probabilistic algorithms (including Monte Carlo)]; J.4 [social and behavioral sciences]: [economics]"
"Financial time-series data analysis using deep convolutional neural networks","10.1109/CCBD.2016.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027469207&doi=10.1109%2fCCBD.2016.027&partnerID=40&md5=a67ab301d59ba5c3b7b50025c082a600","A novel financial time-series analysis method based on deep learning technique is proposed in this paper. In recent years, the explosive growth of deep learning researches have led to several successful applications in various artificial intelligence and multimedia fields, such as visual recognition, robot vision, and natural language processing. In this paper, we focus on the time-series data processing and prediction in financial markets. Traditional feature extraction approaches in intelligent trading decision support system are used to applying several technical indicators and expert rules to extract numerical features. The major contribution of this paper is to improve the algorithmic trading framework with the proposed planar feature representation methods and deep convolutional neural networks (CNN). The proposed system is implemented and benchmarked in the historical datasets of Taiwan Stock Index Futures. The experimental results show that the deep learning technique is effective in our trading simulation application, and may have greater potentialities to model the noisy financial data and complex social science problems. In the future, we expected that the proposed methods and deep learning framework could be applied to more innovative applications in the next financial technology (FinTech) generation. © 2016 IEEE.","convolutional neural networks; data visualization; Deep learning; machine learning; trend prediction"
"Incorporating order-flow into optimal execution","10.1007/s11579-016-0162-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958742151&doi=10.1007%2fs11579-016-0162-z&partnerID=40&md5=1f6d7310871842544cb4c686b7b2eaf7","We provide an explicit closed-form strategy for an investor who executes a large order when market order-flow from all agents, including the investor’s own trades, has a permanent price impact. The strategy is found in closed-form when the permanent and temporary price impacts are linear in the market’s and investor’s rates of trading. We do this under very general assumptions about the stochastic process followed by the order-flow of the market. The optimal strategy consists of an Almgren–Chriss execution strategy adjusted by a weighted-average of the future expected net order-flow (given by the difference of the market’s rate of buy and sell market orders) over the execution trading horizon and proportional to the ratio of permanent to temporary linear impacts. We use historical data to calibrate the model to Nasdaq traded stocks and use simulations to show how the strategy performs. © 2016, Springer-Verlag Berlin Heidelberg.","Acquisition; Algorithmic trading; High frequency trading; Liquidation; Order-flow; Price impact"
"Cultures of high-frequency trading: mapping the landscape of algorithmic developments in contemporary financial markets","10.1080/03085147.2016.1213986","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988353603&doi=10.1080%2f03085147.2016.1213986&partnerID=40&md5=d87b64caf0908fb3b55e6930253e0daa","As part of ongoing work to lay a foundation for social studies of high-frequency trading (HFT), this paper introduces the culture(s) of HFT as a sociological problem relating to knowledge and practice. HFT is often discussed as a purely technological development, where all that matters is the speed of allocating, processing and transmitting data. Indeed, the speed at which trades are executed and data transmitted is accelerating, and it is fair to say that algorithms are now the primary interacting agents operating in the financial markets. However, we contend that HFT is first and foremost a cultural phenomenon. More specifically, both individuals and collective agents – such as algorithms – might be considered cultural entities, charged with very different ways of processing information, making sense of it and turning it into knowledge and practice. This raises issues relating to situated knowledge, distributed cognition and action, the assignment of responsibility when regulating high-speed algorithms, their history, organizational structure and, perhaps more fundamentally, their representation. © 2016 Informa UK Limited, trading as Taylor & Francis Group.","algorithms; cultures; economic sociology; high-frequency trading; social studies of finance"
"MAPLE: A scalable architecture for maintaining packet latency measurements","10.1145/2398776.2398788","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870925234&doi=10.1145%2f2398776.2398788&partnerID=40&md5=cc9e298bd2d3b570d76d1124f3620cb1","Latency has become an important metric for network monitoring since the emergence of new latency-sensitive applications (e.g., algorithmic trading and high-performance computing). To satisfy the need, researchers have proposed new architectures such as LDA and RLI that can provide fine-grained latency measurements. However, these architectures are fundamentally ossified in their design as they are designed to provide only a specific pre-configured aggregate measurement - -either average latency across all packets (LDA) or per-flow latency measurements (RLI). Network operators, however, need latency measurements at both finer (e.g., packet) as well as flexible (e.g., flow subsets) levels of granularity. To bridge this gap, we propose an architecture called MAPLE that essentially stores packet-level latencies in routers and allows network operators to query the latency of arbitrary traffic sub-populations. MAPLE is built using scalable data structures with small storage needs (uses only 12.8 bits/packet), and uses a novel mechanism to reduce the query bandwidth significantly (by a factor of 17 compared to the naive method of sending packet queries individually). © 2012 ACM.","approximation; bloom filter; latency"
"Analysis of the intraday effects of economic releases on the currency market","10.1016/j.jimonfin.2011.03.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955507173&doi=10.1016%2fj.jimonfin.2011.03.001&partnerID=40&md5=a7d2234c95c5901e870fd4db201ae741","Using four years of second-by-second executed trade data, we study the intraday effects of a representative group of scheduled economic releases on three exchange rates: EUR/USD, JPY/USD, and GBP/USD. Using wavelets to analyze volatility behavior, we empirically show that intraday volatility clusters increase as we approach the time of the releases, and decay exponentially after the releases. Moreover, we compare our results with the results of a poll that we conducted of economists and traders. Finally, we propose a wavelet volatility estimator which is not only more efficient than a range estimator that is commonly used in empirical studies, but also captures the market dynamics as accurately as a range estimator. Our approach has practical value in high-frequency algorithmic trading, as well as electronic market making. © 2011 Elsevier Ltd.","Economic release; Foreign exchange; High frequency; Volatility estimation; Wavelet"
"Big Data and algorithmic governance: the case of financial practices","10.1080/13563467.2016.1216533","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981288269&doi=10.1080%2f13563467.2016.1216533&partnerID=40&md5=2cb93fa309f84a9518bcdfdf7495ebe7","Big Data and algorithmic governance are transforming traditional institutions and media of transnational governance in manners that hold important implications for power, accountability and effectiveness. Drawing on actor-network theory, this paper contrasts utopian or dystopian views on the increasing presence of Big Data in contemporary financial practices. We scrutinise the emerging impacts of Big Data in the public governance of private banks in the Basel III arrangements, private governance of individual actors in credit scoring and anarchic competitive governance of markets in high-frequency trading. Our findings reveal varied and emergent forms of governance through, with and by algorithms. © 2016 Informa UK Limited, trading as Taylor & Francis Group.","Algorithms; bank capital adequacy; Big Data; credit scoring; high-frequency trading"
"Dynamic mode decomposition for financial trading strategies","10.1080/14697688.2016.1170194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991100075&doi=10.1080%2f14697688.2016.1170194&partnerID=40&md5=a064517e294d20706672c3c216d03fbe","We demonstrate the application of an algorithmic trading strategy based upon the recently developed dynamic mode decomposition on portfolios of financial data. The method is capable of characterizing complex dynamical systems, in this case financial market dynamics, in an equation-free manner by decomposing the state of the system into low-rank terms whose temporal coefficients in time are known. By extracting key temporal coherent structures (portfolios) in its sampling window, it provides a regression to a best fit linear dynamical system, allowing for a predictive assessment of the market dynamics and informing an investment strategy. The data-driven analytics capitalizes on stock market patterns, either real or perceived, to inform buy/sell/hold investment decisions. Critical to the method is an associated learning algorithm that optimizes the sampling and prediction windows of the algorithm by discovering trading hot-spots. The underlying mathematical structure of the algorithms is rooted in methods from nonlinear dynamical systems and shows that the decomposition is an effective mathematical tool for data-driven discovery of market patterns. © 2016 Taylor & Francis.","Dynamic mode decomposition; Dynamical systems; Equation-free; Financial trading; Koopman operator"
"Self-evolving trading strategy integrating Internet of Things and big data","10.1109/JIOT.2017.2764957","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032661703&doi=10.1109%2fJIOT.2017.2764957&partnerID=40&md5=2606382180fe2ee12eabaef8b0d08177","In the era of Internet of Things (IoT) and big data, data has increased dramatically. Computers have been used in various fields. Algorithmic trading is beginning to develop rapidly in the trading market, more and more algorithms begin to be used in the transaction market. As a form of machine learning, neural network can fully reveal the complex trading market. Based on the characteristics of commodity futures market, this paper chooses back propagation neural network to establish price forecasting model. And then, according to the rules of futures market, a self-evolving commodity futures trading strategy is proposed. We also use the data of the Shanghai Futures Exchange and the Dalian Futures Exchange to back-testing the strategy. Finally, we compare the proposed strategies and traditional strategies, and illustrate the evolution of our strategy. Experiments show that our strategies are superior to other compared strategies in the proposed evaluation indicator. Our strategy has a good performance both in yield and risk. It also proves the feasibility of the model and the strategy. The research of this paper is significant to the research of the futures market, and it also provides a new idea for the application of machine learning in algorithmic trading. © 2017 IEEE.",
"Backlash Agent: A trading strategy based on Directional Change","10.1109/SSCI.2016.7850004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016079385&doi=10.1109%2fSSCI.2016.7850004&partnerID=40&md5=0ec11a05f2e7e52a6732f8cd3aef818f","Directional Change (DC) is a technique to summarize price movements in a financial market. According to the DC concept, data is sampled only when the magnitude of price change is significant according to the investor. Unlike with time series, DC samples data at irregular time intervals. In this paper, we propose a contrarian trading strategy that is based on the DC concept. We examine the profitability of our trading strategy using three currency pairs: EUR/CHF, GBP/CHF and EUR/USD. The results show that our proposed trading strategy is profitable with Alpha over than 10 in some cases. However, counting the bid and ask prices can decrease considerably the profits under particular settings. © 2016 IEEE.","Algorithmic trading; directional change; FX trading"
"Frequency effects on predictability of stock returns","10.1109/CIFEr.2014.6924080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908128369&doi=10.1109%2fCIFEr.2014.6924080&partnerID=40&md5=6bb1144d8f8774feb2c794665b8af362","We propose that predictability is linked with profitability in a complex manner. We look at ways to measure predictability of price changes using information theoretic approach and employ them on historical data for NYSE 100 stocks. This allows us to determine whether frequency of sampling price changes affects the predictability of those. We also study relations between price changes predictability and the deviation of the price formation processes from iid as well as the stock's sector. We also briefly comment on the complicated relationship between predictability of price changes and the profitability of algorithmic trading. © 2014 IEEE.",
"Reflecting on the VPIN dispute","10.1016/j.finmar.2013.08.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891828976&doi=10.1016%2fj.finmar.2013.08.002&partnerID=40&md5=afb90f51cb04fbbb5980c21a408de70a","In Andersen and Bondarenko (2014), using tick data for S&P 500 futures, we establish that the VPIN metric of Easley, López de Prado, and O'Hara (ELO), by construction, will be correlated with trading volume and return volatility (innovations). Whether VPIN is more strongly correlated with volume or volatility depends on the exact implementation. Hence, it is crucial for the interpretation of VPIN as a harbinger of market turbulence or as a predictor of short-term volatility to control for current volume and volatility. Doing so, we find no evidence of incremental predictive power of VPIN for future volatility. Likewise, VPIN does not attain unusual extremes prior to the flash crash. Moreover, the properties of VPIN are strongly dependent on the underlying trade classification. In particular, using more standard classification techniques, VPIN behaves in the exact opposite manner of what is portrayed in ELO (2011a, 2012a). At a minimum, ELO should rationalize this systematic reversal as the classification becomes more closely aligned with individual transactions.ELO (2014) dispute our findings. This note reviews the econometric methodology and the market microstructure arguments behind our conclusions and responds to a number of inaccurate assertions. In addition, we summarize fresh empirical evidence that corroborates the hypothesis that VPIN is largely driven, and significantly distorted, by the volume and volatility innovations. Furthermore, we note there is compelling new evidence that transaction-based classification schemes are more accurate than the bulk volume strategies advocated by ELO for constructing VPIN. In fact, using perfect classification leads to diametrically opposite results relative to ELO (2011a, 2012a). © 2013 Elsevier B.V.","Flash crash; High-frequency trading; Order flow toxicity; Order imbalance; PIN; VIX; Volatility forecasting; VPIN"
"Informational linkages between dark and lit trading venues","10.1016/j.finmar.2013.02.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891828277&doi=10.1016%2fj.finmar.2013.02.003&partnerID=40&md5=6c147450123428ffeec6a66877000938","We examine the linkages between dark and lit venues using a proprietary data set. We find that algorithmic trades for less liquid stocks are correlated with higher spreads and price impact, as well as contemporaneous trading on the lit venues. Also, signed trades for these stocks predict future returns over the next 15-120 minutes. Trades for liquid stocks, trades by the dark venue brokerage desk, and trades of large blocks transmit less information to lit venues. The results suggest informed agents split orders using algorithms across dark and lit trading venues, with lit orders providing some price discovery. © 2013 Elsevier B.V.","Algorithmic trading; Crossing networks; Information transmission; Price discovery"
"Internal IT load profile variability",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875138303&partnerID=40&md5=cc42d9a0767050da86fb3a58d1cfd59e","There is a significant opportunity for engineers to deliver great value and great return on investment by right sizing for the IT load in data centers even though it is a challenging task. The physical manifestation of the Internet is server-based one with most of those servers residing in data centers. Some common drops in activity occur when there is a major event that diverts attention away from the Internet such as big sporting events like the Superbowl, World Cup Final and the Olympics. A daily fluctuation in Internet activity commonly occurs with the stock market, with some data centers supporting high-frequency trading, others provide domestic exchanges only. Depending on the type of trading supported, the data center may only see high Internet traffic for eight hours of any given day.",
"The synchronized and long-lasting structural change on commodity markets: Evidence from high frequency data","10.3233/AF-13028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908019167&doi=10.3233%2fAF-13028&partnerID=40&md5=f8e3d44b5c7fcdb9a39acf3ebfd656d0","This paper analyses the co-movements between the US stock market and several commodity futures between 1998 and 2011. It computes dynamic conditional correlations at (i) 1-hour, (II) 5-minute, (iii) 10-second, and (iv) 1-second frequencies and documents a synchronized structural break, characterized by correlations that have significantly departed from zero to positive territories, since late September 2008. Our results support the idea that high frequency trading and algorithmic strategies have an effect on the behaviour of commodity prices.","Commodity; Cross-Market Linkages; Financialization; High frequency; Structural change"
"The information content of a limit order book: The case of an FX market","10.1016/j.finmar.2011.07.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053605462&doi=10.1016%2fj.finmar.2011.07.002&partnerID=40&md5=c04a7c3296119e529c237240db805d0e","In this paper we examine the question of whether knowledge of the information contained in a limit order book helps to provide economic value in a simple trading scheme. Given the greater information content of the order book, over simple price information, it might naturally be expected that the order book would dominate. Using Dollar Sterling tick data, we find that despite the in-sample statistical significance of variables describing the structure of the limit order book in explaining tick-by-tick returns, they do not consistently add significant economic value out-of-sample. We show this using a simple linear model to determine trading activity, as well as a model-free genetic algorithm based on price, order flow, and order book information. We also find that the profitability of all trading rules based on genetic algorithms dropped substantially in 2008 compared to 2003 data. © 2011 Elsevier B.V.","Algorithmic trading; High-frequency data; Limit order book; Profitability"
"Scaling properties and universality of first-passage-time probabilities in financial markets","10.1103/PhysRevE.84.066110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855211915&doi=10.1103%2fPhysRevE.84.066110&partnerID=40&md5=11e8ab6ba50fc165f2ba1a0ea5a28e7f","Financial markets provide an ideal frame for the study of crossing or first-passage time events of non-Gaussian correlated dynamics, mainly because large data sets are available. Tick-by-tick data of six futures markets are herein considered, resulting in fat-tailed first-passage time probabilities. The scaling of the return with its standard deviation collapses the probabilities of all markets examined-and also for different time horizons-into single curves, suggesting that first-passage statistics is market independent (at least for high-frequency data). On the other hand, a very closely related quantity, the survival probability, shows, away from the center and tails of the distribution, a hyperbolic t -1 /2 decay typical of a Markovian dynamics, albeit the existence of memory in markets. Modifications of the Weibull and Student distributions are good candidates for the phenomenological description of first-passage time properties under certain regimes. The scaling strategies shown may be useful for risk control and algorithmic trading. © 2011 American Physical Society.",
"Learning to trade with incremental support vector regression experts","10.1007/978-3-540-87656-4_73","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449585220&doi=10.1007%2f978-3-540-87656-4_73&partnerID=40&md5=4abc3d912b7d5806b28e659883d3cdcb","Support vector regression (SVR) is an established non-linear regression technique that has been applied successfully to a variety of predictive problems arising in computational finance, such as forecasting asset returns and volatilities. In real-time applications with streaming data two major issues that need particular care are the inefficiency of batch-mode learning, and the arduous task of training the learning machine in presence of non-stationary behavior. We tackle these issues in the context of algorithmic trading, where sequential decisions need to be made quickly as new data points arrive, and where the data generating process may change continuously with time. We propose a master algorithm that evolves a pool of on-line SVR experts and learns to trade by dynamically weighting the experts' opinions. We report on risk-adjusted returns generated by the hybrid algorithm for two large exchange-traded funds, the iShare S&P 500 and Dow Jones EuroStoxx 50. © 2008 Springer-Verlag.","Algorithmic trading; Computational finance; Ensemble learning; Incremental support vector regression; Subspace tracking"
"Streamsight - A visualization tool for large-scale streaming applications","10.1145/1409720.1409741","https://www.scopus.com/inward/record.uri?eid=2-s2.0-63149113922&doi=10.1145%2f1409720.1409741&partnerID=40&md5=e0677dffbde57c555622b974f2f959d7","Stream processing is becoming a new and important computing paradigm. Innovative streaming applications are being developed in areas ranging from scientific applications (e.g., environment monitoring), to business intelligence (e.g., fraud detection and trend analysis), to financial markets (e.g., algorithmic trading strategies). Developing, understanding, debugging, and optimizing streaming applications is non-trivial because of the adaptive and dynamic nature of these applications. The sheer complexity and the distributed character of a large number of cooperating components hosted on a distributed environment further complicate matters. In this paper we describe Streamsight, a new visualization tool built to examine, monitor, and help understand the dynamic behavior of streaming applications. Previously developed stream processing visualization tools focus solely on composition of dataflow graphs. Streamsight's novelty hinges on a wide range of capabilities, including the ability to manage the dynamics of large and evolving topologies comprising multiple streaming applications with thousands of nodes and interconnections. From rendering live performance counters using different perspectives to allowing recordings and replays of the execution process, Streamsight provides the mechanisms that permit a better understanding of the evolving and adaptive behavior of streaming applications. These capabilities are used for debugging purposes, for performance optimization, and management of resources, including capacity planning. More than 50 developers, both inside and outside IBM, have been using Streamsight. © 2008 ACM.","Distributed processing; Dynamic visualization; Stream processing visualization; Visualizing topologies"
"Does algorithmic trading reduce information acquisition?","10.1093/rfs/hhx137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052835225&doi=10.1093%2frfs%2fhhx137&partnerID=40&md5=c65b39f9e7870cfd23a33a0b98840ae0","I demonstrate an important tension between acquiring information and incorporating it into asset prices. As a salient case, I analyze algorithmic trading (AT), which is typically associated with improved price efficiency. Using a new measure of the information content of prices and a comprehensive panel of 54,879 stock-quarters of Securities and Exchange Commission (SEC) market data, I establish instead that the amount of information in prices decreases by 9% to 13% per standard deviation of AT activity and up to a month before scheduled disclosures. AT thus may reduce price informativeness despite its importance for translating available information into prices. © The Author(s) 2018.",
"Patterns for Distributed Real-Time Stream Processing","10.1109/TPDS.2017.2716929","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021785350&doi=10.1109%2fTPDS.2017.2716929&partnerID=40&md5=0c178fb297ee7a0cf79cb4fd3ff1cb17","In recent years, big data systems have become an active area of research and development. Stream processing is one of the potential application scenarios of big data systems where the goal is to process a continuous, high velocity flow of information items. High frequency trading (HFT) in stock markets or trending topic detection in Twitter are some examples of stream processing applications. In some cases (like, for instance, in HFT), these applications have end-to-end quality-of-service requirements and may benefit from the usage of real-time techniques. Taking this into account, the present article analyzes, from the point of view of real-time systems, a set of patterns that can be used when implementing a stream processing application. For each pattern, we discuss its advantages and disadvantages, as well as its impact in application performance, measured as response time, maximum input frequency and changes in utilization demands due to the pattern. © 1990-2012 IEEE.","big data; Real-time patterns; stream processing"
"Robust Median Reversion Strategy for Online Portfolio Selection","10.1109/TKDE.2016.2563433","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982108603&doi=10.1109%2fTKDE.2016.2563433&partnerID=40&md5=66bd2f69631aafe4366f6e32bae68078","Online portfolio selection has attracted increasing attention from data mining and machine learning communities in recent years. An important theory in financial markets is mean reversion, which plays a critical role in some state-of-the-art portfolio selection strategies. Although existing mean reversion strategies have been shown to achieve good empirical performance on certain datasets, they seldom carefully deal with noise and outliers in the data, leading to suboptimal portfolios, and consequently yielding poor performance in practice. In this paper, we propose to exploit the reversion phenomenon by using robust L 1 -median estimators, and design a novel online portfolio selection strategy named 'Robust Median Reversion' (RMR), which constructs optimal portfolios based on the improved reversion estimator. We examine the performance of the proposed algorithms on various real markets with extensive experiments. Empirical results show that RMR can overcome the drawbacks of existing mean reversion algorithms and achieve significantly better results. Finally, RMR runs in linear time, and thus is suitable for large-scale real-time algorithmic trading applications. © 1989-2012 IEEE.","L 1 -median; mean reversion; online learning; Portfolio selection; robust median reversion"
