Authors,Author(s) ID,Title,Year,Volume,Issue,Page start,Page end,Cited by,Author Keywords,Language of Original Document,Abstract
"Buitrago-Vásquez M., Ossa-Orozco C.P.",57202195342;56031875600;,Hydrothermal synthesis of hydroxyapatite nanorods using a fruit extract template [Síntesis hidrotermal de nanobarras de hidroxiapatita usando plantillas de extractos de fruta],2018,85,204,283.0,288.0,1.0,Bioceramics; Fruit extract template; Hydrothermal reaction; Hydroxyapatite; Nanorods,English,"Biocompatible materials development for the replacement of human body parts has been one of the needs of science. Hydroxyapatite is a bioceramic similar to the mineral component present in the human hard tissues and animal body. In this work, hydroxyapatite nanorods were synthesized and characterized using a hydrothermal reaction with templates of fruit extracts in order to control the particles size and morphology. The powders obtained were characterized by scanning electron microscopy, X-ray diffraction, and infrared spectroscopy. Hydroxyapatite nanorods were obtained with diameters between 43.47 and 48.56 nm and lengths between 148.47 and 265.96 nm. For all assays, an adequate HA synthesis was confirmed because the XRD showed the main and secondary peaks. The crystallite size was calculated with the Scherrer equation, obtaining values between 5.99 and 6.96 nm and percentages crystallinity between 55.61 and 65.9%. The synthesized material can be a suitable biomaterial for the manufacture of bone substitutes. © The author; licensee Universidad Nacional de Colombia."
"Romero-Piedrahita C.A., Mejía-Calderón L.A., Carranza-Sánchez Y.A.",57202204439;57202188896;56703426400;,"Sensitivity analysis of engine warm-up performance at idle conditions to the changes in compression ratio, ethanol content in gasoline fuel and cylinder head material [Estudio de sensibilidad del desempeño durante el calentamiento en vacío de un motor de combustión interna a cambios en su relación de compresión, el contenido de etanol en la mezcla combustible con gasolina y el material de la culata]",2018,85,204,238.0,247.0,0.0,Combustion engine; Compression ratio; Ethanol-gasoline blends; Material; Warm-up,Spanish,"This paper presents the evaluation of the effects caused by variations of the compression ratio, the material of the cylinder head and the composition of the fuel on the engine speed, fuel consumption, warm-up time and emissions of an air-cooled spark ignited engine using an experimental design methodology. The objective of the work was to determine the sensitivity of the engine responses operating at idle conditions, as well as the optimal combination between the mentioned parameters. Of the three factors evaluated, the compression ratio is the factor that has exerted the largest influence on the performance of the engine at idle speed. The steady-state temperatures of the engine reduce with the increase in the compression ratio, with the higher conductivity of the material and with the higher ethanol content. © The author; licensee Universidad Nacional de Colombia."
"Escobar-Macualo F.H., Rojas-Borrego E., Alarcón-Olaya N.T.",7006702231;57202189474;57202189232;,Analysis of pressure and pressure derivative interference tests under linear and spherical flow conditions [Análisis de presión y derivada de presión en pruebas de interferencia en condiciones de flujos lineal y esférico],2018,85,204,44.0,52.0,1.0,Interference testing; Linear flow; Pseudosteady state; Spherical flow; Steady state,English,"Often, interpretation of interference tests is performed for systems acting under radial flow regimen conditions by means of conventional straight-line method, type-curve matching and TDS technique. For linear and spherical flow cases, the interpretation of interference tests is performed by the conventional analysis and type-curve matching. These procedures do not allow verification of the estimated parameters; therefore, this paper presents the formulation of a more practical, useful and accurate methodology which is achieved based upon the determination of characteristic features found on the pressure and pressure derivative versus time log-log plot with the purpose of developing analytical expressions for the interpretation of interference tests under spherical and linear flow conditions. These equations were successfully verified by their application on synthetic tests. © The author; licensee Universidad Nacional de Colombia."
"Trujillo-Vera D.A., Vélez-Salazar Y.",57202197793;57202195977;,Study of different routes of renewable synthesis for Caprolactam production [Estudio de las diferentes rutas de síntesis renovables para la producción de Caprolactama],2018,85,204,231.0,237.0,0.0,Adipic acid; Caprolactama; Lysine; Nylon 6,Spanish,"There are not methods for direct biobased synthesis of caprolactam (CPL), the combination of biotechnological production of renewable raw materials with physical and chemical modifications are emerging and showing promising results. Among these raw materials there are some acids: adipic, glucaric, glutamic, levulinic, succinic, muconic, 2,5-furanicarboxylic, 6-aminocaproic; and other compounds: adiponitrile, lysine, 1,3-butadiene, 1,4-butanediol, Hydroxymethylfurfural, adipic semialdehyde, benzene, phenol and ethanol. There are barriers that have not allowed the viability and commercial development of these processes, such as limitations on the fractionation of lignocellulosic biomass, high-energy requirements for separation of products, low yield, biological inhibition, limited chemical selectivity and low purity of products. Research and development efforts of any of these processes were not identified in Colombia. The route through the lysine is the most promising by involving few reaction stages, by having economic raw materials and because it is carried out under moderate operating conditions. © The author; licensee Universidad Nacional de Colombia."
"Meza L.A., de Mello J.C.C.B.S., Gomes Júnior S.F., Moreno P.",57205322903;7006347608;36241563300;54405740700;,Evaluation of post-graduate programs using a network data envelopment analysis model [Evaluación de los programas de post-grado usando un modelo de análisis envolvente de datos en red],2018,85,204,83.0,90.0,3.0,Bibliometric evaluation; Data envelopment analysis; Education; Educational efficiency; Network DEA,English,"Despite standard Data Envelopment Analysis (DEA) models having been widely used in assessing efficiency in education, a few studies use Network DEA (NDEA) models in educational evaluation. In this paper, we proposed an alternative to the official evaluation performed every three years by CAPES (Brazilian agency for post-graduation programs regulation) using an NDEA model. The use of NDEA is justified because depending on the point of view, some variables can be considered either inputs or outputs. The use of NDEA avoids the need to decide whether a variable is an input or output of the entire process. This happens because a variable can be both an output for one stage and an input for another. Our relational NDEA model computes both productivity and quality assessments together with global efficiency using bibliometric data. © The author; licensee Universidad Nacional de Colombia."
Rivera-Contreras Á.L.,57202197949;,Evaluation of management models of rural projects of drinking water and basic sanitation implemented in the llanos de Colombia [Evaluación de los modelos de gestión de proyectos rurales de agua potable y saneamiento básico implementados en los llanos de Colombia],2018,85,204,289.0,295.0,0.0,Basic sanitation; Drinking water; Project management; Projects; Rural area,Spanish,"This research evaluated the management models of rural drinking water and basic sanitation projects. 200 projects were collected from the governorate, mayor and regional environmental authority. 42 projects formulated and executed were selected, they were used as input to carry out an integral qualitative analysis of 14 variables. According to the results, they did not take into account variables such as technological changes, sectorization and type of communities. Variables such as geographic information systems, socioeconomic evaluation, citizen participation and coverage were partially taken into account and variables that were taken into account were technological appropriation, technical regulation of the potable water sector and basic sanitation 2000, governability. The projects evaluated tend to partially comply with the minimum requirements established by law and do not comply with parameters that, although not mandatory, are important to meet the changing needs of communities in basic sanitation and potable water. © The author; licensee Universidad Nacional de Colombia."
"Romero-Núñez N.N., Flórez-Serrano E.G.",57195282818;55842629900;,Position analysis of a mechanism stephenson type I using natural coordinates [Análisis de posición de un mecanismo de stephenson tipo I utilizando coordenadas naturals],2018,85,204,91.0,97.0,1.0,Natural coordinates; Position analysis; Stephenson I mechanism,English,"In this article the use of natural coordinates is proposed to determine the position of each element of a mechanism Stephenson type I, analytically. Where natural coordinates are mostly cartesian defined in the kinematic pairs and points of interest of the mechanism, achieving with these alternate equations to the derive from the method of vector loop in which angular coordinates are used. The use of natural coordinates in the kinematic modeling of mechanisms is advantageous because dispenses of the use of trigonometric functions, which facilitates modeling and interpretation of the mechanism, and the resulting equations are simpler than those obtained with the vector loop method. These equations were implemented in MATLAB®, to simulate the different configurations of a Stephenson mechanisms type I, with the dimensions given. © The author; licensee Universidad Nacional de Colombia."
"Salcedo-Mendoza J., Paternina-Urzola S., Lujan-Rhenals D., Figueroa-Flórez J.",57191861369;57202196038;55908949500;57188583389;,Enzymatic modification of cassava starch (Corpoica M-Tai) around the pasting temperature [Modificación enzimática de almidón de yuca (Corpoica M-Tai) alrededor de la temperatura de pasta],2018,85,204,223.0,230.0,1.0,Crystallinity; Granule; Hydrolyzed starches; α-amylase,English,"Cassava starch variety Corpoica – TAI, was modified with a commercial α-amylase, in order to evaluate the effects of temperature, reaction time and enzyme/substrate (E/S) ratio on the degree of hydrolysis, and production of enzymatic modified starches. The modified starches presented dextrose equivalents (DE) ranging between 13 and 92%, yield (Y) between 0 and 45.5%. The Scanning electron microscope (SEM) analysis showed that the granules suffered exo-corrosion in agreement with the degree of hydrolysis. The crystallinity degree increased following modification. The granule morphology of hydrolyzed starch was different compared to the native starch. The gelatinization temperature in the residues of hydrolyzed cassava starches hydrolyzed increased with the crystallinity degree as well with the reduction in the amylose content. The native starch showed a greater setback and amylose values than hydrolyzed starches, which indicates that it is more susceptible to retrogradation or water lost (syneresis). © The author; licensee Universidad Nacional de Colombia."
"Ochoa L.H., Niño L.F., Vargas C.A.",56565031000;6506518656;55651861300;,"Fast estimation of earthquake epicenter distance using a single seismological station with machine learning techniques [Estimación rápida de la distancia epicentral de un terremoto utilizando registros de una sola estación sismológica, mediante técnicas de aprendizaje de máquinas]",2018,85,204,161.0,168.0,3.0,Bogota - Colombia; Earthquake; Earthquake early warning; Epicenter distance; Rapid response; Seismic event; Seismology; Support vector machine regression,English,"A Support Vector Machine Regression (SVMR) algorithm was applied to calculate the epicenter distance using a ten seconds signal, after primary waves arrive at a seismological station near to Bogota - Colombia. This algorithm was tested with 863 records of earthquakes, where the input parameters were an exponential function of waveform envelope estimated by least squares and maximum value of recorded waveforms for each component of the seismic station. Cross validation was applied to normalized polynomial kernel functions, obtaining mean absolute error for different exponents and complexity parameters. The epicenter distance was estimated with 10.3 kilometers of absolute error, improving the results previously obtained for this hypocentral parameter. The proposed algorithm is easy to implement in hardware and can be employed directly in the field, generating fast decisions at seismological control centers increasing the possibilities of effective reactions. © The author; licensee Universidad Nacional de Colombia."
"Ramírez-Ramírez S., Sabogal-Suárez D.A., Devia-Narváez D.F., Restrepo-Parra E.",57202194198;56613415700;56367415100;23986169100;,Study of the plasma behavior produced by a vacuum arc discharge for different cathode materials [Estudio del comportamiento del plasma producido en una descarga de arco en vacío para diferentes materiales del cátodo],2018,85,204,76.0,82.0,0.0,Arc discharge; Cathode material; Modeling; Plasma static behavior,English,"Plasma-assisted techniques have been widely used for deposition of high quality thin films and metallurgical coatings. The glow plasma produced in the region between the electrodes and the chamber wall of a cathodic arc was modeled. The plasma behavior was characterized for different cathode materials that are commonly used in a cathodic arc deposition. The electron temperature, density, and electric potential were found to decrease as function of the distance from the spot region. However, the ion kinetic energy tends to increase due to the acceleration of the ions coming from the bulk region. Our results show that the cathodic arc is not directly affected by the plasma potential of the glow plasma and that the cathode material has an important influence on the plasma behavior, mainly because of the electrical and thermal conductivity of each material. © The author; licensee Universidad Nacional de Colombia."
"Contreras-Lozano K.P., Ciro-Velásquez H.J., Márquez-Cardozo C.J.",57188581824;6506187659;55263594200;,Effect of the addition of hydrocolloids and aloe vera gel (Aloe barbadensis Miller) on the rheological properties of a beverage of sweet corn (Zea mays var. saccharata) [Efecto de la adición de hidrocoloides y gel de aloe vera (Aloe barbadensis Miller) en las propiedades reológicas de una bebida de maíz dulce (Zea mays var. saccharata)],2018,85,204,302.0,310.0,0.0,Gums; Stability; Suspension; Viscoelasticity; Viscosity,English,"The rheological properties of food suspensions can be modified by adding hydrocolloids to improve stability. In this paper, the effect of xanthan gum (XG) (0.025-0.075%w/w), sodium carboxymethylcellulose (CMC) (0.025-0.075%w/w), and aloe vera gel (AV) (0.5-1.5%w/w) on the rheological properties of a beverage formulated with sweet corn was evaluated. Rotational and oscillatory tests were performed at temperatures between 10 and 50 °C. Products formulated with hydrocolloids and AV showed a pseudoplastic flow with a consistency coefficient from 0.0036 to 0.2070 Pa.sn and a flow behavior index from 0.5 to 0.9, where the apparent viscosity decreased with the temperature. The viscoelastic behavior of the beverage was characteristic of a weak gel over a wide frequency range, wherein the storage modulus (G') predominated over the loss modulus (G""). Adding high concentrations of gum (≥0.05%w/w) and low concentrations of AV (≤1%w/w) were adequate to keep stability at low strain. © The author; licensee Universidad Nacional de Colombia."
"De Araújo-Uribe N., Ruiz-Villadiego O.S., Montoya-Campuzano O.I., Gutiérrez-Ramírez L.A.",57202199715;57202200838;14065337800;57202197638;,"Viability of probiotic bacteria bacillus polymyxa, bacillus megaterium and lactobacillus delbruekii subsp. Bulgaricus microencapsulated under the spray-drying technique [Viabilidad de las bacterias probióticas bacillus polymyxa, bacillus megaterium y lactobacillus delbruekii subsp. Bulgaricus microencapsuladas bajo la técnica de secado por aspersión]",2018,85,204,272.0,276.0,3.0,Inulin; Maltodextrin; Microencapsulation; Probiotics; Viability,English,"Most microorganisms that are considered as probiotics have received much attention in recent scientific research, supporting their important role in improving bowel function in both human and animal health. Probiotics have the ability to modulate the immune system of the host, compete for colonization with pathogenic microorganisms and improve digestion of food. One disadvantage in the use of probiotics in food processing is the low viability of probiotics that may be affected by environmental conditions including air, humidity and temperature. An alternative to avoid these effects is by developing protective conditions that ensure the viability and activity of these microorganisms during use and food application, ensuring they are released into the intestine where their action is required. Accordingly, this study aims to assess the influence of spray drying technique with maltodextrin and inulin on viability of a consortium of three types of probiotic bacteria widely used in the food industry. © The author; licensee Universidad Nacional de Colombia."
"Valero-Medina J.A., Dallos-Bustos C.D., Lizarazo I.",57202188214;57202200783;25522330800;,A new approach to multispectral image classification based on abstract complex cells [Un nuevo enfoque para la clasificación de imágenes multiespectrales basado en complejos cartesianos],2018,85,204,28.0,37.0,0.0,Cartesian complex; Classification; Superpixel; Support vector machine; Topology,Spanish,"This article proposes a new approach to image classification using a space representation as a Cartesian complex free of ambiguity in the topological relationships of adjacency, connectivity, and boundary. The proposed model comprises six phases: (i) image conversion from the conventional space into the Cartesian complex space; (ii) greyscale transformation, (iii) super-pixel space production based on watershed transform, (iv) texture space production taking advantage of 1-dimensional interpixel elements, (v) classification using support vector machines and (vi) results quality assessment. Although global accuracy of the proposed classification improves accuracy of results obtained with a conventional representation of space, the confidence test shows that this improvement is not statistically significant. However, the new approach can be further strengthened by incorporating techniques to improve boundaries definition between watersheds based on probability values as well as using spaces of multiscale texture. © The author; licensee Universidad Nacional de Colombia."
"Cañola H.D., Echavarría C., Echavarría B.",55366624100;15131432300;55902187900;,Glulam beams reinforced with punched metal plates [Vigas de madera laminada Glulam reforzadas con pletinas metálicas dentadas],2018,85,204,127.0,133.0,0.0,Bending test; Glulam; Punched metal plates; Wood,English,"This article presents an analysis of the mechanical properties of Glulam beams reinforced with punched metal plates. In this study, two groups of Glulam beams were fabricated and experimentally analyzed: 30 non reinforced Glulam beams and 30 Glulam beams reinforced with punched metal plates. All Glulam beams were made of Carbonero (Licania campestre) and an epoxy adhesive with high strength and durability. Four-point bending tests in the 60 full-scale beams were carried out. Then, a model based on linear elasticity theory was used to calculate the strength and verify the experimental results. It was determined that Glulam beams reinforced with punched metal plates show a better mechanical behavior than non reinforced Glulam beams. It was further established that the use of punched metal plates increases the homogeneity and the mechanical capacity of Glulam beams. © The author; licensee Universidad Nacional de Colombia."
"Diaz-Ortiz J.S., Delgado-Rosero M.I., Jurado-Meneses N.M., Aparicio-Rojas G.M.",57202190769;57194625636;57194625846;57202199503;,Thermal analysis and mass spectrometry in protonic conductors (PVDF/H3PO2) for implementation in fuel cells [Análisis térmico y espectrometría de masas en conductores protónicos (PVDF/H3PO2) para implementación en celdas de combustible],2018,85,204,143.0,149.0,1.0,Calorimetry DSC; Fuel cell; Polymer; Solid electrolyte; Spectrometry MS; Thermogravimetry,English,"Polyvinyl Difluoride and Hypophosphorous Acid (PVDF/H3PO2) membranes were prepared with different concentrations of acid. The differential scanning calorimetry (DSC) results showed a typical step of the glass transition around 250 K. Two endothermic anomalies were observed: one closed to 357.6 K due to the evaporation of water, and another closed to 422 K attributed to the melting of the crystalline phase of PVDF. The mass spectrometry (MS) coupled with thermogravimetry analysis (TGA) reveal the possible presence of (C2H2O) and hydrofluoric acid (HF) molecules, thereby raises the possibility that H3PO2 lost a hydrogen atom and bonded to the polymer chain of the PVDF by displacing an atom of fluorine. The presence of water molecules at different temperatures suggests the formation of superficial, internal and structural water in the polymer-acid system. This feature makes the PVDF/H3PO2 system to be proposed as solid electrolyte in fuel cells. © The author; licensee Universidad Nacional de Colombia."
"Zuluaga J.D., Escobar D.A., Younes C.",57060217500;57114680400;6602811467;,A GIS approach based on user location to evaluate a bike-sharing program [Aproximación GIS para la evaluación de programa para compartir bicicleta basado en la localización de los usuarios],2018,85,204,257.0,263.0,2.0,Bike sharing systems; GPS; Location-allocation; Maximize coverage; Users,English,"Over the past decade, bike-sharing systems (BSS) and Bike-sharing programs (BSP) have been implemented around the globe due to their benefits and for changing the established paradigm that the car is the main mode of transportation in urban areas. For that reason, one of the most important elements that needs careful planning is the location of the bike stations. This research evaluates the location of the BSP bike stations in a small Colombian city based on the location of the system’s users. Additionally, two alternatives are shown to achieve a better understanding of how the BSP could be well planned and consolidated. The results were obtained with a location-allocation model which assigns each user with an impedance value from each station. © The author; licensee Universidad Nacional de Colombia."
"Quintero-Montenegro A.M., Mendoza-Grosso C.C., Santamaría F., Alarcón-Villamil J.A.",57202199091;57202190493;54407409600;57202188301;,Dynamic consumption representation of electric vehicles based on battery capacity [Representación del consumo dinámico de los vehículos eléctricos en función de las capacidades de las baterías],2018,85,204,177.0,184.0,0.0,Battery; Capacity; Charging characteristic; Electric vehicles; Probability function; State of charge,English,This paper presents a methodology for generating different charge characteristics using probability function of battery capacity and Tremblay non-linear battery electric model. The battery capacities are grouped into five categories to obtain a behavior of the charging curve variable over time and to determine the probability function of discharged energy. The charging curves of each electric vehicle will represent instantaneous power consumption in a low voltage distribution system with 56 nodes and will allow the comparison between the proposed methodology and the case that considers a linear characteristic of battery charging curve. © The author; licensee Universidad Nacional de Colombia.
Villa-García L.M.,36009519800;,Analysis of constructive damage on single-family homes produced by vibrations induced by soil impacts in their surroundings [Análisis de los daños constructivos sobre una vivienda unifamiliar producidos por vibraciones inducidas por impactos contra el suelo en sus proximidades],2017,84,203,328.0,333.0,0.0,Forensic engineering; Impact; Vibration,English,"Currently there is no specific legislation that addresses the issue of induced impacts on the ground vibrations due to industrial work, nor a general consensus regarding the permissible levels of vibration standards that address problems (pile driving, step trains, etc.). Therefore, and taking into account the impulsive nature of the excitation source (ie impacts of high-level, short-term), employment is justified as an indicator of vibration measurements, the peak value of the signal in the time domain acceleration or speed, and the dominant frequency, since the danger with respect to a structure as well as the inconvenience to the occupants, both factors influence. In this paper the dynamic, constructive or structural damage caused on a house by industrial work of a steel company housing are analyzed. © The author; licensee Universidad Nacional de Colombia."
Perec A.,8234594700;,Disintegration and recycling possibility of selected abrasives for water jet cutting [Valoración de la desintegración y reciclaje de los componentes abrasivos en procesos de cortes con agua],2017,84,203,249.0,256.0,4.0,Abrasive; Grain size; Recycling; Water jet,English,"This paper presented a study of abrasive disintegration in a 400 MPa Abrasive Water Jet (AWJ). Abrasive particle size and distribution play a major role in machining and cutting efficiency of abrasive water jets. Tested garnet abrasive, commonly used in the abrasive water jet treatment, and corundum. It is of scientific interest to observe the disintegration of these particles which have been interactive with uncommonly used abrasive materials. Time impact of abrasive grains on the workpiece is very short and not all the grain in the stream of being able to do the work of cutting, you should expect the possibility of recovering the abrasive treatment. Considerable importance is the increase in cutting capacity crushed grains due to reveal new cutting edges. Based on a feasibility study this paper will present some results on achieved cutting data and shows also wear of the used focusing tube-the main part responsible for the formation of the jet. © The author; licensee Universidad Nacional de Colombia."
Pérez-Olguín I.J.C.,57202266532;,High power printed circuit board design for automotive fuse block usage [Diseño de tablillas eléctricas de alta potencia para uso en cajas de fusibles automotrices],2017,84,203,88.0,94.0,0.0,Automotive fuse block and current carrying capacity; Temperature rise; Trace width size,English,"The minimal size for the conductor calculation is always the first point of interest when an electrical designer is creating a High Power Printed Circuit Board for automotive applications; in this paper you will see the factors considered to calculate the conductor size, the math information, the background information for the factors selection and the conservative rules implemented to protect the circuits for an overload; in addition this document shows two different methods to define the conductor size for the Printed Circuit Board, one based in international standards (Actual Design) and the other based in design assumptions defined to reduce the conservative rules used to calculate the conductor size (Proposal Design). In addition, you can see the validation data and the statistical results to support the implementation for the proposal method in the fuse block design used in the automotive industry, due the Proposal Design provides High Power Printed Circuit Boards with 33% less copper compared to the Actual Design. © The author; licensee Universidad Nacional de Colombia."
"Cueva-Orjuela J.C., Hormaza-Anaguano A., Merino-Restrepo A.",57202265281;56368321300;57191172624;,Sugarcane bagasse and its potential use for the textile effluent treatment [Bagazo de caña de azúcar y su potencial aprovechamiento para el tratamiento de efluentes textiles],2017,84,203,291.0,297.0,4.0,Adsorption; Agricultural wastes; Basic dyes; Bromatological analysis; Statistical design of experiments,English,"In Colombia, sugarcane represents the second product with a large area of cultivation. It is estimated that from sugar mills about 6 million tons of sugarcane bagasse, SCB, are produced, of which 5 million are inefficiently used for burning boilers. SCB is mainly composed of cellulose, hemicellulose and lignin, allowing its use as a potential adsorbent. Particularly, the aim of this work was to evaluate the viability of using SCB for the adsorption of basic red 46, BR46, in aqueous solution. The effect of factors such as point of zero charge, solution pH, particle size, adsorbent dosage, initial dye concentration, contact time and ionic strength was evaluated using a statistical design of experiments. A removal of 86.4 % was obtained and the further optimization of the process through a response surface design, allowed to achieve a maximum adsorption of 95.0 %. These results suggest SCB is a promising alternative of a non-conventional adsorbent that could be applied for treating dyed effluents. © The author; licensee Universidad Nacional de Colombia."
"Gaviria-Palacio D., Guáqueta-Restrepo J.J., Pineda-Tobón D.M., Pérez J.C.",57202267234;57202265583;57202267646;57210533069;,Fast estimation of chlorophyll content on plant leaves using the light sensor of a smartphone [Estimación rápida del contenido de clorofila en hojas usando el sensor de luz de un teléfono celular],2017,84,203,233.0,239.0,2.0,Leaf light transmittance; Non-destructive chlorophyll meter; Plant nutrition,English,"Plant chlorophyll measurements can support nitrogen fertilization decisions. Using a 3D printed device and a red LED, here we tested the feasibility of using a smartphone ambient light sensor (ALS) to estimate leaf chlorophyll by light transmission. Its performance was evaluated by comparing 30 leaf sorghum (Sorghum bicolor (L.) Moench) transmission readings of the red LED (663 nm) obtained from the smartphone and a standard spectrometer, which showed a good coefficient of determination (r2 = 0.9067). Additionally, a comparison between the ALS and a SPAD 502™ (a commercial device for chlorophyll content estimation) was made with chrysanthemum (Dendranthema grandiflora Tzvelev) leaves, obtaining a good correlation between both measurements. Light transmission was also measured in S. bicolor flag leaves from plants growing in the greenhouse under increasing nitrogen fertilization. A clear fit between leaf light transmission and plant height was also observed, suggesting a simple, smartphone based estimation of plant’s chlorophyll. © The author; licensee Universidad Nacional de Colombia."
"Ramírez A.Q., González Y.V., Valencia L.A.L.",57202266527;57216027769;57202265681;,Effect of solid wastes leachates on a tropical soil [Efecto de los lixiviados de residuos sólidos en un suelo tropical],2017,84,203,283.0,290.0,1.0,Environmental management; Geotechnical characterization; Soil contamination,English,"Disposal of solid wastes has become a common problem for public administrations due to the high population growth rates and the unavailability of land in large cities. Besides, the increase of long-term rainfalls combined with poor runoff water collection systems in sanitary landfills causes greater production of leachate at the disposal sites. This paper examines the impact of solid wastes leachates on a tropical soil throughout the geotechnical characterization of two samples of residual soil, both sharing the same origin, one of them exposed to the effect of solid wastes leachates for over 15 years and the other one in natural soil conditions (uncontaminated). For this purpose, various laboratory tests were carried out to determinate the physical, chemical, structural, mechanical and mineralogical properties of soil samplings. The results suggest that the exposition of the contaminated sample to leachates modify significantly their physical, chemical, structural, hydro-mechanical and mineralogical properties, showing a degradation of the geotechnical behavior of soils exposed to contaminants. These should serve to raise awareness in environmental authorities about the inadequate disposal of solid wastes and other contaminants thrown directly into the soil. © The author; licensee Universidad Nacional de Colombia."
"Peña-Orozco D.L., Rivera L.",57202266087;24345222400;,Sensitivity analysis of the scor metrics selected for the measurement of the management of a fruit-growing supply chain [Análisis de sensibilidad de métricas scor seleccionadas para medir la gestión de una cadena de abastecimiento frutícola],2017,84,203,306.0,315.0,1.0,Analytic hierarchy process; Management; Multi-criteria analysis; Scor; Supply chain,English,"This paper presents the sensitivity analysis performed on metrics of the SCOR model in order to measure the management of a fruit-growing supply chain of small producers. The methodology is presented in a detailed manner for the selection of metrics by using a multi-criteria method such as the Analytic Hierarchy Process (AHP). The pertinence of the results is analyzed by taking into account three possible scenarios of assessment by the experts. The results of the sensitivity analysis show a certain degree of soundness in the solution given that the changes in the identified metrics within the three scenarios are minimal. Finally, a path for implementing of such metrics from the SCOR model is offered as a proposal to improve the administration and as a usage alternative of the SCOR model for these chains. © The author; licensee Universidad Nacional de Colombia."
"Sánchez M.L., Capote G., Carrillo J.",56999644800;6507794765;28367475000;,Influence of thermal residual stresses on the free vibration of reinforced laminates [Influencia de las tensiones térmicas residuales en la vibración libre de laminados reforzados],2017,84,203,298.0,305.0,0.0,Cure temperature; Free vibration; Frequency; Laminates; Thermal stresses,English,"The use of laminated composite materials has increased in modern engineering, mainly in those projects that require an assurance of good strength and durability. It has been found that some properties of the material that ensure proper performance can be affected by the occurrence of residual stresses caused by the manufacturing process. In this paper, the influence of thermal residual stresses on the free vibration of reinforced plates is analyzed. For the experimental study, a square, reinforced, prepreg laminate was used. The laminate was reinforced using two different types of reinforcement: lateral and perimetral. The plates were prepared using two different techniques. The first group of laminates was prepared by curing the reinforcement at 177 °C. The second group of laminates was prepared by secondary bonding of the reinforcement to the laminate at room temperature (22 °C). A numerical model was elaborated for comparison with the experimental results. Accuracy was observed when comparing experimental and numerical results, showing that the presence of residual thermal stress affects the value of the natural frequencies of free vibration and the characteristic modal form of reinforced plates. Regardless of the type of reinforcement used, a notable increase in these values was observed, even when the element was simply supported. © The author; licensee Universidad Nacional de Colombia."
"Freitas L.C.S.R., Campos A.T., Schiassi L., Yanagi-Junior T., Cecchin D.",57194269685;14057604800;50262974800;27667923100;56025871200;,Fuzzy index for swine thermal comfort at nursery stage based on behavior [Índice fuzzy para confort térmico de cerdos en la fase de pre-ceba con base en su comportamiento],2017,84,203,201.0,207.0,0.0,Frequency of behavior; Fuzzy model; Swine confinement facilities; Thermal environment,English,"This work aims to develop and test a computational mathematical model, based on the fuzzy set theory, to predict the rate of thermal comfort by means of the swine behavior in relation to their age and to the black globe humidity index for two nursery types. Nursery 1 had brick stalls with fully slatted metal flooring, and nursery 2 had wooden stalls with fully slatted plastic flooring. Nursery style 2 presented a higher frequency of behavior in the condition comfort than nursery style 1, respectively 39,32% and 38,16%. The thermal comfort values for the fuzzy system were 3,58% for the standard deviation and 72,86% for the coefficient of determination. The developed fuzzy model has proven adequate in predicting thermal comfort by means of the animal's behavior. © The author; licensee Universidad Nacional de Colombia."
"Ibarguen-Valverde J.L., Angulo-López J.E., Rodríguez-Salcedo J., Prías-Caicedo O.",57202266584;55931426800;57202263784;56252068700;,Indicators of energetic performance: A path to sustainability. “a case study of a high-roasting industry of coffee” [Indicadores de desempeño energético: Una ruta hacia la sustentabilidad. “caso de estudio una industria torrefactora de café”],2017,84,203,184.0,191.0,0.0,High-roasting industry of coffee; Indicators of energetic performance; Sustainability,Spanish,"The result of the massive production of goods and services; has led our civilization to deal a major challenge: turning industrialized economies into sustainable industrial systems. The indicators of energetic performance achieve to improve the productive-energetic capacity of any organization and contribute to generate economic value, to reach the competitiveness and to mitigate the environmental impact. In the present research established the indicators of thermal energetic performance in one of nine high-roasting industry of coffee which cover more 90% of market in Colombia. The methodology used was based on the integral model of energy management. This study allowed to identify factors that affect directly the use and consumption of energy as the maintenance, the leaks of heat and lack of pressure and air calibration according to required power and to determine the scale of savings and expense in excess of thermal energy and CO2 amounts. © The author; licensee Universidad Nacional de Colombia."
"Guevara-Ortega L.M., Rodríguez-Urrego L.",57202264094;57205660920;,Model the green procurement based coloured petri nets [Modelado de compras verdes mediante redes de petri coloreadas],2017,84,203,177.0,183.0,1.0,Coloured Petri nets; Green procurement; Sustainability supply chain,Spanish,"Developed countries have implemented sustainable development policies specifically in Sustainable Consumption and Production. The green procurement process is often considered critical for the adequate performance of the supply chain because it manages and guarantees the acquisition of the products/ services so that the company fulfills its missionary activities, generating economic benefits, mitigating the effects of its activities in the environment and society. This article, presents a model for the green procurement process, based on a tool for the modeling of complex discrete event systems called Coloured Petri Nets (CPN). © The author; licensee Universidad Nacional de Colombia."
